fichero,url,performance,best-practices,seo,calificacion
20250608_28037041_IES JOAQUÍN RODRIGO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.joaquinrodrigo.madrid,0.56,0.76,0.92,7.5
20250608_28037053_IES PRADOLONGO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.pradolongo.madrid/,0.55,0.96,0.5,7.42
20250608_28037053_IES PRADOLONGO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.pradolongo.madrid,0.43,0.66,0.77,6.3
20250608_28037065_IES REY FERNANDO VI_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.reyfernando.sanfernando/,0.47,0.96,0.66,7.62
20250608_28037065_IES REY FERNANDO VI_url_web_LightHouse.json,http://www.educa.madrid.org/ies.reyfernando.sanfernando,0.51,0.66,1,7.08
20250608_28037077_IES VICTORIA KENT_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.victoriakent.torrejondeardoz/,0.56,0.96,0.58,7.65
20250608_28037077_IES VICTORIA KENT_url_web_LightHouse.json,http://www.educa.madrid.org/ies.victoriakent.torrejondeardoz,0.52,0.62,0.92,6.7
20250608_28037089_IES DIEGO VELAZQUEZ_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.velazquez.torrelodones/,0.3,0.89,0.66,6.85
20250608_28037089_IES DIEGO VELAZQUEZ_url_web_LightHouse.json,https://www.educa2.madrid.org/web/diego-velazquez,0.0,0.0,0.0,0.0
20250608_28038070_IES VIRGEN DE LA PAZ_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.lapaz.alcobendas/,0.55,0.96,0.66,7.82
20250608_28038070_IES VIRGEN DE LA PAZ_url_web_LightHouse.json,http://www.educa.madrid.org/ies.lapaz.alcobendas,0.48,0.66,0.77,6.43
20250608_28038100_IES LUIS BUÑUEL_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.luisbunuel.alcorcon/,0.54,0.96,0.66,7.8
20250608_28038100_IES LUIS BUÑUEL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.luisbunuel.alcorcon,0.29,0.76,0.92,6.83
20250608_28038151_IES RAFAEL ALBERTI_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.alberti.coslada/,0.56,0.96,0.66,7.85
20250608_28038151_IES RAFAEL ALBERTI_url_web_LightHouse.json,http://www.educa.madrid.org/ies.alberti.coslada,0.33,0.62,0.85,6.05
20250608_28038215_IES CARPE DIEM_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.carpediem.fuenlabrada/,0.56,0.96,0.66,7.85
20250608_28038215_IES CARPE DIEM_url_web_LightHouse.json,http://www.educa.madrid.org/ies.carpediem.getafe,0.0,0.76,0.63,5.38
20250608_28038227_IES CLARA CAMPOAMOR_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.claracampoamor.mostoles/,0.51,0.96,0.66,7.72
20250608_28038227_IES CLARA CAMPOAMOR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.claracampoamor.getafe,0.0,0.76,0.63,5.38
20250608_28038291_IES SALVADOR DALI_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.salvadordali.leganes/,0.54,0.93,0.66,7.65
20250608_28038291_IES SALVADOR DALI_url_web_LightHouse.json,http://www.educa.madrid.org/ies.salvadordali.leganes,0.89,0.76,0.66,7.68
20250608_28038306_IES SIGLO XXI_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.sigloveintiuno.leganes/,0.57,0.96,0.58,7.67
20250608_28038306_IES SIGLO XXI_url_web_LightHouse.json,http://www.educa.madrid.org/ies.sigloveintiuno.leganes,0.36,0.76,0.92,7.0
20250608_28038355_IES MIRASIERRA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.mirasierra.madrid/,0.43,0.96,0.66,7.53
20250608_28038355_IES MIRASIERRA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.mirasierra.madrid,0.55,0.79,0.92,7.62
20250608_28038367_IES FRANCISCO TOMAS Y VALIENTE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.tomasyvaliente.madrid/,0.53,0.96,0.66,7.78
20250608_28038367_IES FRANCISCO TOMAS Y VALIENTE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.tomasyvaliente.madrid,0.88,0.76,0.66,7.65
20250608_28038379_IES ISLAS FILIPINAS_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.islasfilipinas.madrid/,0.54,0.96,0.66,7.8
20250608_28038379_IES ISLAS FILIPINAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.islasfilipinas.madrid,0.52,0.66,0.85,6.72
20250608_28038422_IES LUIS BUÑUEL_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.luisbunuel.mostoles/,0.54,0.96,0.66,7.8
20250608_28038422_IES LUIS BUÑUEL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.luisbunuel.mostoles,0.88,0.76,0.66,7.65
20250608_28038446_IES NARCIS MONTURIOL_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.narcismonturiol.parla/,0.54,0.96,0.66,7.8
20250608_28038446_IES NARCIS MONTURIOL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.narcismonturiol.parla,0.52,0.66,0.92,6.9
20250608_28038616_IES JAIME FERRAN CLUA_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.jaimeferran.sanfernando/,0.5,0.96,0.58,7.5
20250608_28038616_IES JAIME FERRAN CLUA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.jaimeferran.sanfernando,0.22,0.62,0.92,5.95
20250608_28038801_IES MARIA DE MOLINA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.mariademolina.madrid/,0.39,0.93,0.66,7.28
20250608_28038801_IES MARIA DE MOLINA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.mariademolina.madrid,0.46,0.45,0.92,5.7
20250608_28038811_IES ANTONIO MACHADO_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.machado.alcala/,0.42,0.93,0.66,7.35
20250608_28038811_IES ANTONIO MACHADO_url_web_LightHouse.json,https://iesmachado.org/web%20insti/index_v10.php,0.75,0.46,0.73,6.0
20250608_28038823_IES ISAAC NEWTON_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.newton.madrid/,0.53,0.96,0.58,7.58
20250608_28038823_IES ISAAC NEWTON_url_web_LightHouse.json,http://www.educa.madrid.org/ies.newton.madrid,0.45,0.52,0.83,5.8
20250608_28038835_IES ISIDRA DE GUZMÁN_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.isidradeguzman.alcala/,0.54,0.96,0.66,7.8
20250608_28038835_IES ISIDRA DE GUZMÁN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.isidradeguzman.alcala,0.45,0.66,1,6.92
20250608_28038847_IES SEVERO OCHOA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.severoochoa.alcobendas/,0.43,0.96,0.66,7.53
20250608_28038847_IES SEVERO OCHOA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.severoochoa.alcobendas,0.48,0.45,1,5.95
20250608_28038859_IES PARQUE DE LISBOA_url_aula_LightHouse.json,https://aulavirtual34.educa.madrid.org/ies.parquelisboa.alcorcon/,0.55,0.96,0.66,7.82
20250608_28038859_IES PARQUE DE LISBOA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.parquelisboa.alcorcon,0.33,0.41,0.92,5.17
20250608_28038860_IES LA SERNA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.laserna.fuenlabrada/,0.56,0.96,0.66,7.85
20250608_28038860_IES LA SERNA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.laserna.fuenlabrada,0.48,0.66,0.92,6.8
20250608_28038872_IES LA FORTUNA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.lafortuna.leganes/,0.56,0.96,0.66,7.85
20250608_28038872_IES LA FORTUNA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.lafortuna.leganes,0.49,0.66,0.85,6.65
20250608_28038884_IES CLARA CAMPOAMOR_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.claracampoamor.mostoles/,0.48,0.96,0.66,7.65
20250608_28038884_IES CLARA CAMPOAMOR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.claracampoamor.mostoles,0.38,0.59,0.85,6.03
20250608_28038896_IES VELAZQUEZ_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.velazquez.mostoles/,0.56,0.96,0.66,7.85
20250608_28038896_IES VELAZQUEZ_url_web_LightHouse.json,http://www.educa.madrid.org/ies.velazquez.mostoles,0.53,0.66,0.92,6.92
20250608_28038902_IES MANUEL ELKIN PATARROYO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.manuelelkinpatarroyo.parla/,0.53,0.96,0.66,7.78
20250608_28038902_IES MANUEL ELKIN PATARROYO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.manuelelkinpatarroyo.parla,0.5,0.66,0.85,6.67
20250608_28038914_IES CAMILO JOSE CELA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.camilojosecela.pozuelodealarcon/,0.55,0.96,0.66,7.82
20250608_28038914_IES CAMILO JOSE CELA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.camilojosecela.pozuelodealarcon,0.59,0.76,0.92,7.57
20250608_28038926_IES VILLA DE VALDEMORO_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.villadevaldemoro.valdemoro/,0.54,0.96,0.66,7.8
20250608_28038926_IES VILLA DE VALDEMORO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.villadevaldemoro.valdemoro,0.47,0.45,0.85,5.55
20250608_28039037_IES ALPAJES_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.alpajes.aranjuez/,0.49,0.96,0.66,7.68
20250608_28039037_IES ALPAJES_url_web_LightHouse.json,http://www.educa.madrid.org/ies.alpajes.aranjuez,0.51,0.66,0.77,6.5
20250608_28039128_IES MARIA DE ZAYAS Y SOTOMAYOR_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.mariadezayas.majadahonda/,0.54,0.96,0.66,7.8
20250608_28039128_IES MARIA DE ZAYAS Y SOTOMAYOR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.mariadezayas.majadahonda,0.39,0.76,1,7.28
20250608_28039670_IES CARDENAL CISNEROS_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.cardenalcisnero.alcala/,0.52,0.93,0.58,7.4
20250608_28039670_IES CARDENAL CISNEROS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.cardenalcisnero.alcala,0.55,0.76,0.92,7.48
20250608_28039682_IES ALKALA-NAHAR_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.alkalanahar.alcala/,0.41,0.96,0.66,7.48
20250608_28039682_IES ALKALA-NAHAR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.alkalanahar.alcala,0.5,0.59,1,6.7
20250608_28039694_IES IGNACIO ELLACURIA_url_aula_LightHouse.json,https://aulavirtual37.educa.madrid.org/ies.ignacioellacuria.alcorcon/,0.43,0.96,0.66,7.53
20250608_28039694_IES IGNACIO ELLACURIA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.ignacioellacuria.alcorcon,0.43,0.62,1,6.67
20250608_28039700_IES JOSEFINA ALDECOA_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.josefinaaldecoa.alcorcon/,0.55,0.75,0.66,6.78
20250608_28039700_IES JOSEFINA ALDECOA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.josefinaaldecoa.alcorcon,0.48,0.66,0.92,6.8
20250608_28039724_IES GRANDE COVIAN_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.grandecovian.arganda/,0.54,0.96,0.66,7.8
20250608_28039724_IES GRANDE COVIAN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.grandecovian.arganda,0.45,0.66,0.92,6.72
20250608_28039751_IES LA CAÑADA (CEPA COSLADA)_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/cepa.coslada/,0.55,0.96,0.58,7.62
20250608_28039751_IES LA CAÑADA (CEPA COSLADA)_url_web_LightHouse.json,https://www.educa2.madrid.org/web/centro.cepa.coslada/inicio,0.28,0.82,0.85,6.92
20250608_28039797_IES JULIO CARO BAROJA_url_aula_LightHouse.json,https://aulavirtual34.educa.madrid.org/ies.carobaroja.fuenlabrada/,0.56,0.96,0.58,7.65
20250608_28039797_IES JULIO CARO BAROJA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.carobaroja.fuenlabrada,0.14,0.66,0.92,5.95
20250608_28039803_IES SALVADOR ALLENDE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.salvadorallende.fuenlabrada/,0.48,0.96,0.66,7.65
20250608_28039803_IES SALVADOR ALLENDE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.salvadorallende.fuenlabrada,0.32,0.76,0.92,6.9
20250608_28039827_IES LAGUNA DE JOATZEL_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.lagunadejoatzel.getafe/,0.48,0.96,0.58,7.45
20250608_28039827_IES LAGUNA DE JOATZEL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.lagunadejoatzel.getafe,0.59,0.79,1,7.92
20250608_28039839_IES ISAAC ALBENIZ_url_aula_LightHouse.json,http://aulavirtual3.educa.madrid.org/ies.albeniz.leganes,0.51,0.79,0.66,6.88
20250608_28039839_IES ISAAC ALBENIZ_url_web_LightHouse.json,http://www.educa.madrid.org/ies.albeniz.leganes,0.37,0.62,0.85,6.15
20250608_28039840_IES MARQUES DE SUANZES_url_aula_LightHouse.json,http://aulavirtual3.educa.madrid.org/ies.marquesdesuanzes.madrid,0.51,0.79,0.58,6.67
20250608_28039840_IES MARQUES DE SUANZES_url_web_LightHouse.json,http://www.educa.madrid.org/ies.marquesdesuanzes.madrid,0.58,0.79,1,7.9
20250608_28039852_IES PEREZ GALDOS_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.perezgaldos.madrid/,0.48,0.96,0.66,7.65
20250608_28039852_IES PEREZ GALDOS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.perezgaldos.madrid,0.51,0.62,0.77,6.3
20250608_28039864_IES JULIO VERNE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.julioverne.leganes/,0.43,0.96,0.66,7.53
20250608_28039864_IES JULIO VERNE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.julioverne.leganes,0.35,0.76,0.92,6.97
20250608_28039876_IES SALVADOR DALÍ_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.salvadordali.madrid/,0.31,0.96,0.58,7.03
20250608_28039876_IES SALVADOR DALÍ_url_web_LightHouse.json,http://www.educa.madrid.org/ies.salvadordali.madrid,0.4,0.62,0.92,6.4
20250608_28039888_IES GABRIEL GARCIA MARQUEZ_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.garciamarquez.madrid/,0.55,0.96,0.66,7.82
20250608_28039888_IES GABRIEL GARCIA MARQUEZ_url_web_LightHouse.json,http://www.educa.madrid.org/ies.garciamarquez.madrid,0.53,0.66,0.85,6.75
20250608_28039891_IES VILLABLANCA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.villablanca.madrid/,0.55,0.96,0.66,7.82
20250608_28039891_IES VILLABLANCA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.villablanca.madrid,0.47,0.62,1,6.78
20250608_28039943_IES CARLOS BOUSOÑO_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.carlosbousono.majadahonda/,0.52,0.75,0.58,6.5
20250608_28039943_IES CARLOS BOUSOÑO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.carlosbousono.majadahonda,0.56,0.79,1,7.85
20250608_28039992_IES LOS ROSALES_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.losrosales.mostoles/,0.55,0.96,0.66,7.82
20250608_28039992_IES LOS ROSALES_url_web_LightHouse.json,https://www.educa2.madrid.org/web/centro.ies.losrosales.mostoles,0.48,0.57,1,6.55
20250608_28040003_IES BENJAMIN RUA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.benjaminrua.mostoles/,0.54,0.96,0.66,7.8
20250608_28040003_IES BENJAMIN RUA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.benjaminrua.mostoles,0.53,0.72,1,7.42
20250608_28040027_IES LUIS DE GONGORA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.gongora.torrejondeardoz/,0.46,0.96,0.66,7.6
20250608_28040027_IES LUIS DE GONGORA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.gongora.torrejondeardoz,0.3,0.38,0.92,4.95
20250608_28040611_IES AL-SATT_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.alsatt.algete/,0.54,0.96,0.66,7.8
20250608_28040611_IES AL-SATT_url_web_LightHouse.json,http://www.educa.madrid.org/ies.alsatt.algete,0.36,0.76,1,7.2
20250608_28040660_IES ALDEBARAN_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.aldebaran.alcobendas/,0.56,0.96,0.66,7.85
20250608_28040660_IES ALDEBARAN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.aldebaran.alcobendas,0.89,0.76,0.66,7.68
20250608_28040672_IES GUSTAVO ADOLFO BECQUER_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.becquer.algete/,0.43,0.96,0.66,7.53
20250608_28040672_IES GUSTAVO ADOLFO BECQUER_url_web_LightHouse.json,http://www.educa.madrid.org/ies.becquer.algete,0.61,0.79,1,7.97
20250608_28040684_IES CARPE DIEM_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.carpediem.chinchon/,0.44,0.96,0.66,7.55
20250608_28040684_IES CARPE DIEM_url_web_LightHouse.json,http://www.educa.madrid.org/ies.carpediem.chinchon,0.53,0.59,0.92,6.57
20250608_28040696_IES JOSÉ HIERRO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.josehierro.getafe/,0.56,0.96,0.66,7.85
20250608_28040696_IES JOSÉ HIERRO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.josehierro.getafe,0.24,0.79,0.92,6.85
20250608_28040702_IES LEON FELIPE_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.leonfelipe.getafe/,0.54,0.93,0.66,7.65
20250608_28040702_IES LEON FELIPE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.leonfelipe.getafe,0.31,0.79,1,7.23
20250608_28040714_IES DE GUADARRAMA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.guadarrama/,0.55,0.96,0.66,7.82
20250608_28040714_IES DE GUADARRAMA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.guadarrama,0.88,0.76,0.66,7.65
20250608_28040726_IES JUAN DE MAIRENA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.juandemairena.sansebastian/,0.56,0.96,0.66,7.85
20250608_28040726_IES JUAN DE MAIRENA_url_web_LightHouse.json,https://www.educa2.madrid.org/web/centro.ies.juandemairena.sansebastian,0.4,0.82,0.77,7.03
20250608_28040738_IES SAN NICASIO_url_aula_LightHouse.json,http://aulavirtual3.educa.madrid.org/ies.sannicasio.leganes,0.41,0.76,0.66,6.47
20250608_28040738_IES SAN NICASIO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.sannicasio.leganes,0.33,0.79,0.83,6.85
20250608_28040741_IES ITURRALDE_url_aula_LightHouse.json,https://aulavirtual34.educa.madrid.org/ies.iturralde.madrid/,0.53,0.96,0.58,7.58
20250608_28040741_IES ITURRALDE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.iturralde.madrid,0.58,0.79,1,7.9
20250608_28040751_IES VILLA DE VALLECAS_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.villadevallecas.madrid/,0.56,0.96,0.66,7.85
20250608_28040751_IES VILLA DE VALLECAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.villadevallecas.madrid,0.46,0.79,0.92,7.4
20250608_28040775_IES SAN JUAN DE LA CRUZ_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.sanjuandelacruz.pozuelodealarcon/,0.44,0.96,0.66,7.55
20250608_28040775_IES SAN JUAN DE LA CRUZ_url_web_LightHouse.json,http://www.educa.madrid.org/ies.sanjuandelacruz.pozuelodealarcon,0.51,0.79,1,7.72
20250608_28040787_IES EL BURGO-IGNACIO ECHEVERRÍA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.burgoiecheverria.lasrozas/,0.49,0.96,0.58,7.48
20250608_28040787_IES EL BURGO-IGNACIO ECHEVERRÍA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.burgoiecheverria.lasrozas,0.57,0.76,0.92,7.52
20250608_28040799_IES JULIO PALACIOS_url_aula_LightHouse.json,https://aulavirtual34.educa.madrid.org/ies.juliopalacios.sansebastian/,0.54,0.96,0.66,7.8
20250608_28040799_IES JULIO PALACIOS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.juliopalacios.sansebastian,0.55,0.79,0.92,7.62
20250608_28041354_IES AGORA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.agora.alcobendas/,0.54,0.96,0.58,7.6
20250608_28041354_IES AGORA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.agora.alcobendas,0.37,0.79,1,7.38
20250608_28041366_IES EL PINAR_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.elpinar.alcorcon/,0.54,0.96,0.66,7.8
20250608_28041366_IES EL PINAR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.elpinar.alcorcon,0.6,0.79,1,7.95
20250608_28041378_IES PROFESOR MAXIMO TRUEBA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.maximotrueba.boadilla/,0.54,0.96,0.66,7.8
20250608_28041378_IES PROFESOR MAXIMO TRUEBA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.maximotrueba.boadilla,0.58,0.76,1,7.75
20250608_28041381_IES DE LA CABRERA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.lacabrera/,0.52,0.93,0.66,7.6
20250608_28041381_IES DE LA CABRERA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.lacabrera,0.55,0.79,0.92,7.62
20250608_28041391_IES ANTONIO GAUDI_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.antoniogaudi.coslada/,0.54,0.96,0.66,7.8
20250608_28041391_IES ANTONIO GAUDI_url_web_LightHouse.json,http://www.educa.madrid.org/ies.antoniogaudi.coslada,0.56,0.76,0.92,7.5
20250608_28041408_IES JOSÉ LUIS LÓPEZ ARANGUREN_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.lopezaranguren.fuenlabrada/,0.53,0.96,0.66,7.78
20250608_28041408_IES JOSÉ LUIS LÓPEZ ARANGUREN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.lopezaranguren.fuenlabrada,0.42,0.62,0.92,6.45
20250608_28041411_IES ALTAIR_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.altair.getafe/,0.54,0.96,0.66,7.8
20250608_28041411_IES ALTAIR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.altair.getafe,0.5,0.62,0.92,6.65
20250608_28041433_IES JUANA DE CASTILLA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.juanadecastilla.madrid/,0.56,0.96,0.66,7.85
20250608_28041433_IES JUANA DE CASTILLA_url_web_LightHouse.json,https://www.educa2.madrid.org/web/centro.ies.juanadecastilla.madrid,0.36,0.82,0.77,6.92
